order_id,order_date,amount,product_id,product_name
ORD1001,2023-07-15,25000,PROD-X1001,Smartphone
ORD1002,2024-03-03,55000,PROD-Y2458,Laptop
ORD1003,2021-11-20,3000,PROD-Z5632,Wireless Mouse
ORD1004,2022-08-10,15000,PROD-A8947,Tablet
ORD1005,2020-05-28,2000,PROD-B3345,Portable Charger
ORD1006,2019-12-12,12000,PROD-C7712,Smartwatch
ORD1007,2018-06-05,8000,PROD-D1298,Bluetooth Speaker
ORD1008,2017-09-18,3500,PROD-E9043,Mechanical Keyboard
ORD1009,2016-04-09,22000,PROD-F6087,Gaming Monitor
ORD1010,2015-10-25,30000,PROD-G4821,Graphics Card
ORD1011,2014-06-14,27000,PROD-H1234,Smart TV
ORD1012,2013-11-03,6000,PROD-I5678,Wireless Earbuds
ORD1013,2012-09-27,8500,PROD-J9101,Home Assistant Speaker
ORD1014,2011-04-19,18000,PROD-K3141,4K Camera
ORD1015,2010-02-21,1200,PROD-L5672,USB Hub
ORD1016,2009-08-08,4500,PROD-M7893,Gaming Mouse
ORD1017,2008-12-31,15500,PROD-N4567,VR Headset
ORD1018,2007-07-22,9900,PROD-O8901,Smart Door Lock
ORD1019,2006-05-16,19500,PROD-P6789,Noise Cancelling Headphones
ORD1020,2005-10-11,4800,PROD-Q4562,Portable SSD
ORD1021,2004-03-29,56000,PROD-R8910,Desktop Computer
ORD1022,2003-11-05,3200,PROD-S7895,Wireless Router
ORD1023,2002-06-18,7400,PROD-T4568,Smart Thermostat
ORD1024,2001-09-30,13000,PROD-U3456,Security Camera
ORD1025,2000-04-25,1600,PROD-V5674,Power Bank
ORD1026,1999-07-13,21000,PROD-W6782,Gaming Console
ORD1027,1998-02-06,14000,PROD-X3452,Streaming Stick
ORD1028,1997-12-19,6700,PROD-Y5671,Electric Shaver
ORD1029,1996-05-08,5300,PROD-Z7894,Bluetooth Headset
ORD1030,1995-10-30,27500,PROD-A4563,Ultrawide Monitor
